Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Alshat;Star;20:20:39.82;-12:45:32.7;Cap;;;;;4.77;;;;;;;;;;;;;;;;;;HR 7773,nu Cap,HIP 100310,HD 193432;Alshat;;;
Altair;Star;19:50:47.00;+08:52:06.0;Aql;;;;;0.76;;;;;;;;;;;;;;;;;;HR 7557,alf Aql,HIP 97649,HD 187642;Altair;;;
Altais;Star;19:12:33.30;+67:39:41.5;Dra;;;;;3.07;;;;;;;;;;;;;;;;;;HR 7310,del Dra,HIP 94376,HD 180711;Altais;;;
Alterf;Star;09:31:43.23;+22:58:04.7;Leo;;;;;4.32;;;;;;;;;;;;;;;;;;HR 3773,lam Leo,HIP 46750,HD 82308;Alterf;;;
Aludra;Star;07:24:05.70;-29:18:11.2;CMa;;;;;2.45;;;;;;;;;;;;;;;;;;HR 2827,eta CMa,HIP 35904,HD 58350;Aludra;;;
Alula Australis;Star;11:18:10.90;+31:31:45.0;UMa;;;;;4.41;;;;;;;;;;;;;;;;;;HR 4375,ksi UMa,HIP 55203,HD 98231;Alula Australis;;;
Alula Borealis;Star;11:18:28.74;+33:05:39.5;UMa;;;;;3.49;;;;;;;;;;;;;;;;;;HR 4377,nu UMa,HIP 55219,HD 98262;Alula Borealis;;;
Alya;Star;18:56:13.19;+04:12:13.0;Ser;;;;;4.62;;;;;;;;;;;;;;;;;;HR 7141,tet01 Ser,HIP 92946,HD 175638;Alya;;;
Alzirr;Star;06:45:17.36;+12:53:44.1;Gem;;;;;3.35;;;;;;;;;;;;;;;;;;HR 2484,ksi Gem,HIP 32362,HD 48737;Alzirr;;;
Amadioha;Star;06:13:35.66;-29:53:50.2;CMa;;;;;8.98;;;;;;;;;;;;;;;;;;HD 43197,HIP 29550,HD 43197;Amadioha;;;
Amansinaya;Star;11:01:35.90;-23:51:38.4;Crt;;;;;10.30;;;;;;;;;;;;;;;;;;WASP-34;Amansinaya;;;
Anadolu;Star;23:13:58.76;+08:45:40.6;Peg;;;;;11.95;;;;;;;;;;;;;;;;;;WASP-52;Anadolu;;;
Ancha;Star;22:16:50.04;-07:46:59.8;Aqr;;;;;4.17;;;;;;;;;;;;;;;;;;HR 8499,tet Aqr,HIP 110003,HD 211391;Ancha;;;
Angetenar;Star;02:51:02.32;-21:00:14.5;Eri;;;;;4.76;;;;;;;;;;;;;;;;;;HR 850,tau02 Eri,HIP 13288,HD 17824;Angetenar;;;
Aniara;Star;11:51:22.51;+57:38:26.6;UMa;;;;;7.86;;;;;;;;;;;;;;;;;;HD 102956,HIP 57820,HD 102956;Aniara;;;
Ankaa;Star;00:26:17.03;-42:18:21.9;Phe;;;;;2.40;;;;;;;;;;;;;;;;;;HR 99,alf Phe,HIP 2081,HD 2261;Ankaa;;;
Anser;Star;19:28:42.33;+24:39:53.7;Vul;;;;;4.44;;;;;;;;;;;;;;;;;;HR 7405,alf Vul,HIP 95771,HD 183439;Anser;;;
Antares;Star;16:29:24.46;-26:25:55.2;Sco;;;;;1.06;;;;;;;;;;;;;;;;;;HR 6134,alf Sco,HIP 80763,HD 148478;Antares;;;
Arcalis;Star;14:53:23.03;+18:14:07.5;Boo;;;;;7.80;;;;;;;;;;;;;;;;;;HD 131496,HIP 72845,HD 131496;Arcalis,Arcalís;;;
Arcturus;Star;14:15:39.67;+19:10:56.7;Boo;;;;;-0.05;;;;;;;;;;;;;;;;;;HR 5340,alf Boo,HIP 69673,HD 124897;Arcturus;;;
Arkab Posterior;Star;19:23:13.14;-44:47:59.2;Sgr;;;;;4.27;;;;;;;;;;;;;;;;;;HR 7343,bet02 Sgr,HIP 95294,HD 181623;Arkab Posterior;;;
Arkab Prior;Star;19:22:38.29;-44:27:32.3;Sgr;;;;;3.96;;;;;;;;;;;;;;;;;;HR 7337,bet01 Sgr,HIP 95241,HD 181454;Arkab Prior;;;
Arneb;Star;05:32:43.82;-17:49:20.2;Lep;;;;;2.58;;;;;;;;;;;;;;;;;;HR 1865,alf Lep,HIP 25985,HD 36673;Arneb;;;
Ascella;Star;19:02:36.73;-29:52:48.2;Sgr;;;;;2.60;;;;;;;;;;;;;;;;;;HR 7194,zet Sgr,HIP 93506,HD 176687;Ascella;;;
Asellus Australis;Star;08:44:41.10;+18:09:15.5;Cnc;;;;;3.94;;;;;;;;;;;;;;;;;;HR 3461,del Cnc,HIP 42911,HD 74442;Asellus Australis;;;
Asellus Borealis;Star;08:43:17.15;+21:28:06.6;Cnc;;;;;4.66;;;;;;;;;;;;;;;;;;HR 3449,gam Cnc,HIP 42806,HD 74198;Asellus Borealis;;;
Ashlesha;Star;08:46:46.51;+06:25:07.7;Hya;;;;;3.49;;;;;;;;;;;;;;;;;;HR 3482,eps Hya,HIP 43109,HD 74874;Ashlesha;;;
Aspidiske;Star;09:17:05.41;-59:16:30.8;Car;;;;;2.21;;;;;;;;;;;;;;;;;;HR 3699,iot Car,HIP 45556,HD 80404;Aspidiske;;;
Asterope;Star;03:45:54.48;+24:33:16.2;Tau;;;;;5.76;;;;;;;;;;;;;;;;;;HR 1151,21 Tau,HIP 17579,HD 23432;Asterope;;;
Atakoraka;Star;06:44:27.61;-32:51:30.2;CMa;;;;;12.53;;;;;;;;;;;;;;;;;;WASP-64;Atakoraka;;;
Athebyne;Star;16:23:59.49;+61:30:51.2;Dra;;;;;2.73;;;;;;;;;;;;;;;;;;HR 6132,eta Dra,HIP 80331,HD 148387;Athebyne;;;
Atik;Star;03:44:19.13;+32:17:17.7;Per;;;;;3.84;;;;;;;;;;;;;;;;;;HR 1131,omi Per,HIP 17448,HD 23180;Atik;;;
Atlas;Star;03:49:09.74;+24:03:12.3;Tau;;;;;3.62;;;;;;;;;;;;;;;;;;HR 1178,27 Tau,HIP 17847,HD 23850;Atlas;;;
Atria;Star;16:48:39.89;-69:01:39.8;TrA;;;;;1.91;;;;;;;;;;;;;;;;;;HR 6217,alf TrA,HIP 82273,HD 150798;Atria;;;
Avior;Star;08:22:30.84;-59:30:34.1;Car;;;;;1.86;;;;;;;;;;;;;;;;;;HR 3307,eps Car,HIP 41037,HD 71129;Avior;;;
Axolotl;Star;23:59:53.83;-22:25:41.2;Cet;;;;;8.23;;;;;;;;;;;;;;;;;;HD 224693,HIP 118319,HD 224693;Axolotl,Axólotl;;;
Ayeyarwady;Star;03:00:10.66;-20:48:09.4;Eri;;;;;7.81;;;;;;;;;;;;;;;;;;HD 18742,HIP 13993,HD 18742;Ayeyarwady;;;
Azelfafage;Star;21:42:05.66;+51:11:22.6;Cyg;;;;;4.69;;;;;;;;;;;;;;;;;;HR 8301,pi01 Cyg,HIP 107136,HD 206672;Azelfafage;;;
Azha;Star;02:56:25.65;-08:53:53.3;Eri;;;;;3.89;;;;;;;;;;;;;;;;;;HR 874,eta Eri,HIP 13701,HD 18322;Azha;;;
Azmidi;Star;07:49:17.66;-24:51:35.2;Pup;;;;;3.45;;;;;;;;;;;;;;;;;;HR 3045,ksi Pup,HIP 38170,HD 63700;Azmidi;;;
Baekdu;Star;14:56:48.35;+74:54:03.3;UMi;;;;;6.83;;;;;;;;;;;;;;;;;;HD 133086,8 UMi,HIP 73136,HD 133086;Baekdu;;;
Barnard's Star;Star;17:57:48.97;+04:40:05.8;Oph;;;;;9.54;;;;;;;;;;;;;;;;;;GJ 699,V2500 Oph,HIP 87937;Barnard's Star;;;
Baten Kaitos;Star;01:51:27.63;-10:20:06.2;Cet;;;;;3.74;;;;;;;;;;;;;;;;;;HR 539,zet Cet,HIP 8645,HD 11353;Baten Kaitos;;;
Beemim;Star;04:24:02.22;-34:01:00.7;Eri;;;;;3.97;;;;;;;;;;;;;;;;;;HR 1393,ups03 Eri,HIP 20535,HD 28028;Beemim;;;
Beid;Star;04:11:51.94;-06:50:15.3;Eri;;;;;4.04;;;;;;;;;;;;;;;;;;HR 1298,omi01 Eri,HIP 19587,HD 26574;Beid;;;
Belel;Star;19:21:04.23;-23:37:10.5;Sgr;;;;;7.55;;;;;;;;;;;;;;;;;;HD 181342,HIP 95124,HD 181342;Belel;;;
Belenos;Star;01:25:12.52;+28:34:00.1;Psc;;;;;7.12;;;;;;;;;;;;;;;;;;HD 8574,HIP 6643,HD 8574;Belenos,Bélénos;;;
Bellatrix;Star;05:25:07.86;+06:20:58.9;Ori;;;;;1.64;;;;;;;;;;;;;;;;;;HR 1790,gam Ori,HIP 25336,HD 35468;Bellatrix;;;
Berehynia;Star;04:24:59.53;+39:27:38.3;Per;;;;;11.72;;;;;;;;;;;;;;;;;;HAT-P-15;Berehynia;;;
Betelgeuse;Star;05:55:10.31;+07:24:25.4;Ori;;;;;0.45;;;;;;;;;;;;;;;;;;HR 2061,alf Ori,HIP 27989,HD 39801;Betelgeuse;;;
Bharani;Star;02:49:59.03;+27:15:37.8;Ari;;;;;3.61;;;;;;;;;;;;;;;;;;HR 838,41 Ari,HIP 13209,HD 17573;Bharani;;;
Bibha;Star;09:56:05.92;-03:48:30.3;Sex;;;;;8.73;;;;;;;;;;;;;;;;;;HD 86081,HIP 48711,HD 86081;Bibha,Bibhā;;;
Biham;Star;22:10:11.99;+06:11:52.3;Peg;;;;;3.52;;;;;;;;;;;;;;;;;;HR 8450,tet Peg,HIP 109427,HD 210418;Biham;;;
Bosona;Star;21:43:24.90;-07:24:29.7;Aqr;;;;;8.34;;;;;;;;;;;;;;;;;;HD 206610,HIP 107251,HD 206610;Bosona;;;
Botein;Star;03:11:37.77;+19:43:36.0;Ari;;;;;4.35;;;;;;;;;;;;;;;;;;HR 951,del Ari,HIP 14838,HD 19787;Botein;;;
Brachium;Star;15:04:04.22;-25:16:55.1;Lib;;;;;3.25;;;;;;;;;;;;;;;;;;HR 5603,sig Lib,HIP 73714,HD 133216;Brachium;;;
Bubup;Star;05:37:02.02;-73:41:57.6;Men;;;;;6.69;;;;;;;;;;;;;;;;;;HD 38283,HIP 26380,HD 38283;Bubup;;;
Buna;Star;02:37:01.91;+42:03:45.5;And;;;;;7.28;;;;;;;;;;;;;;;;;;HD 16175,HIP 12191,HD 16175;Buna;;;
Bunda;Star;21:37:45.11;-07:51:15.1;Aqr;;;;;4.80;;;;;;;;;;;;;;;;;;HR 8264,ksi Aqr,HIP 106786,HD 205767;Bunda;;;
Canopus;Star;06:23:57.11;-52:41:44.4;Car;;;;;-0.62;;;;;;;;;;;;;;;;;;HR 2326,alf Car,HIP 30438,HD 45348;Canopus;;;
Capella;Star;05:16:41.36;+45:59:52.8;Aur;;;;;0.08;;;;;;;;;;;;;;;;;;HR 1708,alf Aur,HIP 24608,HD 34029;Capella;;;
