Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
PK 6-04 1;PN;18:18:13.78;-25:38:11.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6-03 1;PN;18:12:33.68;-24:49:59.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6-02 1;PN;18:09:29.91;-24:12:28.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6+02 4;PN;17:53:36.73;-21:58:40.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6+02 3;PN;17:52:22.55;-21:51:12.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6+04 2;PN;17:45:31.71;-20:58:01.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 6-03 2;PN;18:14:28.52;-24:43:33.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 7+06 2;PN;17:38:12.47;-19:37:41.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 7-06 1;PN;18:24:56.79;-25:41:53.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 7-06 2;PN;18:27:59.54;-26:06:40.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 7+01 1;PN;17:55:07.22;-21:44:37.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 7+04 1;PN;17:46:20.34;-20:13:54.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 7+07 1;PN;17:35:10.06;-18:34:18.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 7+06 1;PN;17:37:22.36;-18:46:45.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 7-03 1;PN;18:17:16.45;-23:58:51.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 7-04 1;PN;18:20:08.80;-24:15:05.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 8+03 1;PN;17:49:15.27;-20:00:34.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 8-04 1;PN;18:22:01.18;-24:10:39.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 8+06 1;PN;17:38:57.38;-18:17:35.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 8-04 2;PN;18:22:31.75;-24:09:28.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 8-01 1;PN;18:08:25.36;-22:16:52.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 8-07 2;PN;18:32:34.77;-25:07:43.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 8-03 1;PN;18:18:23.65;-23:24:52.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 8-07 1;PN;18:31:53.37;-24:46:17.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 8+05 1;PN;17:46:09.29;-18:39:36.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 9+04 1;PN;17:50:28.42;-19:03:12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 9+02 1;PN;17:55:57.40;-19:28:24.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 9+04 2;PN;17:50:57.27;-18:46:46.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 9-05 1;PN;18:25:43.48;-23:11:59.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 9-09 1;PN;18:44:42.93;-25:21:34.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 9+10 1;PN;17:29:03.76;-15:13:21.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 9+14 1;PN;17:14:03.64;-12:54:36.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 9-10 1;PN;18:48:12.01;-25:28:49.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 9-04 1;PN;18:25:04.45;-22:34:53.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 10+00 1;PN;18:05:13.39;-19:50:13.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 10+04 1;PN;17:52:04.56;-17:36:15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 10+03 1;PN;17:57:06.63;-18:06:43.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 10-06 1;PN;18:33:54.61;-22:38:39.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 10-06 2;PN;18:34:51.50;-22:43:22.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 10+18 2;PN;17:05:37.84;-10:08:32.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
