Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
vdB 114;RfN;18:08:30.00;-18:22:60.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 115;RfN;18:09:08.40;-23:26:07.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 116;RfN;18:10:38.84;-17:44:02.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 117;RfN;18:14:37.98;-17:21:46.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 118;RfN;18:16:52.46;-19:46:40.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 119;RfN;18:17:05.83;-19:51:52.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 120;RfN;18:17:16.77;-16:55:43.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 121;RfN;18:20:15.94;-17:00:15.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 122;RfN;18:24:33.50;-13:39:12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 123;RfN;18:30:24.88;+01:13:23.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 124;RfN;18:31:25.69;-10:47:45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 125;RfN;19:26:00.88;+15:33:24.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 126;RfN;19:26:11.32;+22:45:26.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 127;RfN;19:47:23.27;+18:32:03.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 128;RfN;20:04:36.17;+32:13:07.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 129;RfN;20:11:18.29;-00:49:17.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 130;RfN;20:17:42.19;+39:20:58.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 131;RfN;20:24:15.72;+42:18:01.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 132;RfN;20:24:46.63;+42:23:05.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 133;RfN;20:30:59.23;+36:56:09.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 134;RfN;20:30:03.54;+48:57:05.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 135;RfN;20:36:45.59;+32:27:16.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 136;RfN;20:38:17.17;+42:04:25.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 137;RfN;20:55:49.80;+47:25:03.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 138;RfN;20:57:16.58;+48:17:44.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 139;RfN;21:01:36.92;+68:09:47.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 140;RfN;21:17:18.79;+58:36:41.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 141;RfN;21:16:26.33;+68:15:36.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 142;RfN;21:36:41.04;+57:30:08.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 143;RfN;21:36:57.05;+68:11:07.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 144;RfN;21:40:43.31;+54:52:19.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 145;RfN;21:43:37.17;+48:53:01.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 146;RfN;21:42:50.18;+66:06:35.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 147;RfN;21:52:34.10;+47:13:43.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 148;RfN;22:07:17.00;+56:14:02.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 149;RfN;22:09:08.49;+72:53:05.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 150;RfN;22:09:40.13;+73:23:27.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 151;RfN;22:13:52.73;+39:42:53.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 152;RfN;22:13:24.53;+70:15:05.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 153;RfN;22:23:12.26;+62:41:59.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 154;RfN;22:31:13.58;+65:27:58.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 155;RfN;22:53:15.60;+62:08:45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 156;RfN;23:01:55.26;+42:19:33.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 157;RfN;23:02:15.73;+72:43:49.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vdB 158;RfN;23:37:51.60;+48:29:47.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
