Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-102;HII;20:31:47.07;+30:36:18.6;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-103;HII;20:50:32.47;+30:55:24.4;;210;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-104;HII;20:17:45.14;+36:44:40.1;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-105;HII;20:12:02.78;+38:20:58.7;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-106;HII;20:27:27.67;+37:23:49.4;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-107;HII;20:42:46.82;+36:20:34.2;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-108;HII;20:22:35.48;+40:15:15.5;;180;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-109;HII;20:33:38.46;+40:20:32.9;;1080;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-110;HII;21:20:48.86;+32:27:28.3;;50;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-111;HII;21:41:53.29;+30:06:20.5;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-112;HII;20:33:50.36;+45:39:35.3;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-113;HII;21:20:48.18;+38:05:28.8;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-114;HII;21:21:10.81;+38:42:31.0;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-115;HII;20:34:34.00;+46:52:40.6;;50;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-116;HII;20:32:19.25;+47:21:25.2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-117;HII;20:58:46.56;+44:19:18.7;;240;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-118;HII;21:37:01.13;+40:12:56.6;;480;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-119;HII;21:18:25.79;+43:56:16.1;;160;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-120;HII;21:03:47.11;+49:52:50.6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-121;HII;21:05:12.70;+49:38:59.2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-122;HII;23:08:47.29;+14:55:29.9;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-123;HII;21:42:22.79;+44:32:24.2;;13;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-124;HII;21:38:21.71;+50:21:04.7;;70;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-125;HII;21:53:33.18;+47:16:18.2;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-126;HII;22:33:27.51;+38:34:56.0;;160;;;;;;;;;;;;;;;;;;;;;;;;;;
