Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
LBN 178;Neb;19:58:51.43;+36:08:13.2;;100;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 179;Neb;20:07:53.52;+35:23:47.0;;25;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 180;Neb;20:03:51.70;+36:18:32.0;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 181;Neb;20:13:54.79;+34:59:09.2;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 182;Neb;20:09:53.11;+35:48:54.7;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 183;Neb;20:02:50.54;+36:58:28.2;;15;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 184;Neb;19:51:47.18;+38:17:46.3;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 185;Neb;20:23:56.86;+34:19:45.5;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 186;Neb;19:50:46.39;+38:42:42.5;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 187;Neb;20:07:51.36;+36:48:47.2;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 188;Neb;22:58:33.79;+00:06:05.0;;22;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 189;Neb;20:07:50.86;+37:08:47.0;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 190;Neb;20:03:49.06;+37:58:32.2;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 191;Neb;20:52:04.20;+31:11:20.4;;210;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 192;Neb;20:05:49.03;+38:08:39.5;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 193;Neb;20:09:50.04;+37:48:54.4;;90;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 194;Neb;20:04:48.38;+38:28:35.8;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 195;Neb;20:17:52.54;+36:49:23.9;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 196;Neb;19:52:44.45;+39:57:50.0;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 197;Neb;20:05:48.48;+38:28:39.4;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 198;Neb;20:28:55.61;+35:40:03.0;;130;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 199;Neb;20:00:46.25;+39:28:20.6;;35;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 200;Neb;19:53:43.97;+40:17:53.9;;70;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 201;Neb;19:49:42.62;+40:47:38.4;;60;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 202;Neb;19:55:44.50;+40:08:01.7;;45;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 203;Neb;20:12:49.61;+38:19:05.5;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 204;Neb;19:42:39.98;+41:47:10.7;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 205;Neb;20:06:47.52;+39:08:43.1;;300;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 206;Neb;20:15:50.26;+38:09:16.6;;50;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 207;Neb;19:58:44.57;+40:18:13.0;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 208;Neb;20:09:48.17;+38:58:54.5;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 209;Neb;20:17:50.76;+37:59:23.6;;30;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 210;Neb;20:27:54.05;+36:39:59.4;;70;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 211;Neb;20:24:52.92;+37:09:49.0;;240;;;;;;;;;;;;;;;;;;;;;;;;;;
LBN 212;Neb;20:19:51.02;+37:59:30.8;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
